epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
1,4.50435949,2.243590,4.760000,4.760000,4.760000,0.1000000000,9.463477,9.463481
2,4.34758577,4.340946,7.890000,7.890000,7.890000,0.0999972585,8.913180,18.473944
3,4.22985778,5.823317,11.480000,11.480000,11.480000,0.0999890342,9.037942,27.644233
4,4.12805516,7.369792,11.680000,11.680000,11.680000,0.0999753280,8.756647,36.489861
5,4.03552862,8.764022,13.830000,13.830000,13.830000,0.0999561415,8.632466,45.228211
6,3.92698939,10.306490,19.070000,19.070000,19.070000,0.0999314767,8.864575,54.180166
7,3.83654375,12.001202,20.030000,20.030000,20.030000,0.0999013364,8.887556,63.148447
8,3.73541397,13.185096,22.530000,22.530000,22.530000,0.0998657239,8.696323,71.947586
9,3.65392700,14.637420,23.740000,23.740000,23.740000,0.0998246430,8.900259,80.935554
10,3.57703105,16.237981,26.500000,26.500000,26.500000,0.0997780982,8.879785,89.918248
11,3.52357665,16.945112,26.560000,26.560000,26.560000,0.0997260948,8.953899,98.958688
12,3.45985764,18.064904,30.950000,30.950000,30.950000,0.0996686383,8.771589,107.857187
13,3.42195684,18.894231,28.070000,30.950000,30.950000,0.0996057351,8.834569,116.779796
14,3.36705541,20.104167,29.620000,30.950000,30.950000,0.0995373920,8.850296,125.663837
15,3.34404299,20.186298,32.290000,32.290000,32.290000,0.0994636166,8.764555,134.463890
16,3.29537576,20.909455,33.910000,33.910000,33.910000,0.0993844170,8.872574,143.439318
17,3.26065567,21.702724,31.980000,33.910000,33.910000,0.0992998019,8.837557,152.393390
18,3.23264074,22.333734,32.230000,33.910000,33.910000,0.0992097804,8.939873,161.365122
19,3.20699877,23.044872,38.240000,38.240000,38.240000,0.0991143625,8.769486,170.169338
20,3.19033469,23.179087,35.870000,38.240000,38.240000,0.0990135587,8.920558,179.204260
21,3.16126575,23.719952,36.560000,38.240000,38.240000,0.0989073800,8.769500,188.006298
22,3.14965141,23.906250,36.730000,38.240000,38.240000,0.0987958381,8.720147,196.756458
23,3.12024854,24.721554,38.650000,38.650000,38.650000,0.0986789451,8.677165,205.481009
24,3.11513300,24.521234,37.070000,38.650000,38.650000,0.0985567140,8.830177,214.438300
25,3.09902184,24.919872,37.710000,38.650000,38.650000,0.0984291581,8.813581,223.295821
26,3.08539734,25.056090,37.360000,38.650000,38.650000,0.0982962913,8.987443,232.326576
27,3.07213183,25.284455,36.880000,38.650000,38.650000,0.0981581283,8.772082,241.127573
28,3.06037303,25.775240,39.190000,39.190000,39.190000,0.0980146843,8.723088,249.881284
29,3.05785887,25.863381,38.540000,39.190000,39.190000,0.0978659749,8.950883,258.944678
30,3.04407570,26.109776,40.560000,40.560000,40.560000,0.0977120164,8.712757,267.686986
31,3.02920623,26.360176,40.110000,40.560000,40.560000,0.0975528258,8.873538,276.676462
32,3.01572642,26.612580,41.160000,41.160000,41.160000,0.0973884205,8.801523,285.523418
33,3.00170518,26.702724,40.530000,41.160000,41.160000,0.0972188185,8.969116,294.577779
34,3.00843253,26.953125,39.470000,41.160000,41.160000,0.0970440384,8.851641,303.459175
35,2.99894621,26.682692,36.390000,41.160000,41.160000,0.0968640995,8.875964,312.371919
36,2.99031863,27.023237,40.910000,41.160000,41.160000,0.0966790213,8.873360,321.279240
37,2.98179370,27.283654,40.060000,41.160000,41.160000,0.0964888243,9.008518,330.333041
38,2.97876428,27.301683,39.730000,41.160000,41.160000,0.0962935292,8.896146,339.266295
39,2.97185407,27.676282,42.720000,42.720000,42.720000,0.0960931576,8.840676,348.137615
