epoch,train_loss,train_top1,test_top1,best_top1,closest_top1,learning_rate,epoch_seconds,elapsed_seconds
1,1.94426564,31.930444,39.270687,39.270687,39.270687,0.1000000000,5.071605,5.071608
2,1.34433165,34.778226,37.213651,39.270687,39.270687,0.0999972585,4.900004,10.064537
3,1.33756608,33.543347,37.260402,39.270687,39.270687,0.0999890342,4.785525,14.903676
4,1.31595819,37.827621,37.120150,39.270687,39.270687,0.0999753280,4.686509,19.632534
5,1.27666986,42.792339,38.475923,39.270687,39.270687,0.0999561415,4.882376,24.543829
6,1.16501754,52.318548,45.488546,45.488546,45.488546,0.0999314767,4.836478,29.422492
7,1.07761138,56.779234,63.160355,63.160355,63.160355,0.0999013364,4.965765,34.474500
8,1.03541266,59.879032,64.422627,64.422627,64.422627,0.0998657239,4.868035,39.450225
9,1.01044941,60.206653,55.493221,64.422627,64.422627,0.0998246430,5.020844,44.563200
10,1.00053428,60.483871,59.654044,64.422627,64.422627,0.0997780982,4.768507,49.363279
11,0.97769699,61.189516,59.747546,64.422627,64.422627,0.0997260948,4.819706,54.224342
12,0.95393900,62.474798,66.666667,66.666667,66.666667,0.0996686383,4.886641,59.158928
13,0.93813409,62.752016,68.443198,68.443198,68.443198,0.0996057351,4.905318,64.192876
14,0.92008961,63.608871,59.093034,68.443198,68.443198,0.0995373920,4.761410,69.041200
15,0.90261997,64.012097,56.428237,68.443198,68.443198,0.0994636166,4.970881,74.058599
16,0.90787668,63.508065,52.267415,68.443198,68.443198,0.0993844170,4.979341,79.079199
17,0.90106581,63.684476,67.087424,68.443198,68.443198,0.0992998019,4.960786,84.071342
18,0.85869626,65.725806,70.313230,70.313230,70.313230,0.0992097804,4.736023,88.867130
19,0.82771140,66.028226,62.599345,70.313230,70.313230,0.0991143625,4.700691,93.688345
20,0.81328306,66.910282,55.913978,70.313230,70.313230,0.0990135587,4.819227,98.550167
21,0.83422530,66.003024,65.123890,70.313230,70.313230,0.0989073800,4.738014,103.323305
22,0.78908568,68.220766,70.172978,70.313230,70.313230,0.0987958381,4.834076,108.191185
23,0.78251801,67.893145,71.482001,71.482001,71.482001,0.0986789451,4.872849,113.106667
24,0.75846994,68.750000,71.528752,71.528752,71.528752,0.0985567140,4.687131,117.911974
25,0.73715282,69.959677,62.739598,71.528752,71.528752,0.0984291581,4.917456,122.974783
26,0.77030550,68.548387,55.025713,71.528752,71.528752,0.0982962913,4.900830,127.926937
27,0.73888704,70.010081,60.215054,71.528752,71.528752,0.0981581283,4.826789,132.798688
28,0.70897382,71.068548,71.014493,71.528752,71.528752,0.0980146843,4.790103,137.651759
29,0.72905585,70.060484,57.176251,71.528752,71.528752,0.0978659749,4.829416,142.524595
30,0.71891586,70.892137,72.604021,72.604021,72.604021,0.0977120164,4.934639,147.488370
31,0.69748766,71.295363,73.258532,73.258532,73.258532,0.0975528258,4.788870,152.376424
32,0.70555562,71.597782,56.661992,73.258532,73.258532,0.0973884205,4.959965,157.431537
33,0.68980776,72.101815,60.402057,73.258532,73.258532,0.0972188185,4.868442,162.348399
34,0.69901287,71.925403,65.825152,73.258532,73.258532,0.0970440384,4.811541,167.204439
35,0.66622573,72.807460,54.604956,73.258532,73.258532,0.0968640995,4.879531,172.126535
36,0.68434784,72.051411,64.469378,73.258532,73.258532,0.0966790213,4.792554,176.963218
37,0.67226419,72.479839,72.510519,73.258532,73.258532,0.0964888243,4.858536,181.871383
38,0.67283208,73.084677,50.116877,73.258532,73.258532,0.0962935292,4.795388,186.709063
39,0.66686101,72.807460,71.669004,73.258532,73.258532,0.0960931576,4.723282,191.498509
40,0.66894661,72.857863,68.489949,73.258532,73.258532,0.0958877313,4.890390,196.432834
41,0.67149465,73.160282,63.394109,73.258532,73.258532,0.0956772729,4.754815,201.368887
42,0.64997454,73.034274,72.417017,73.258532,73.258532,0.0954618055,5.063931,206.474293
43,0.63136516,74.571573,69.985975,73.258532,73.258532,0.0952413526,4.800648,211.314584
44,0.63319320,74.395161,44.974287,73.258532,73.258532,0.0950159386,4.921795,216.265754
45,0.65431391,73.437500,72.978027,73.258532,73.258532,0.0947855880,4.838557,221.157623
46,0.63036452,74.117944,76.016830,76.016830,76.016830,0.0945503262,4.773338,225.976460
47,0.63321992,74.369960,63.861618,76.016830,76.016830,0.0943101790,4.789378,230.845912
48,0.64941128,73.840726,71.715755,76.016830,76.016830,0.0940651726,4.875875,235.765336
49,0.60457223,75.478831,72.697522,76.016830,76.016830,0.0938153340,4.754825,240.589316
50,0.62197354,74.521169,62.692847,76.016830,76.016830,0.0935606906,4.817728,245.446631
51,0.60508909,76.083669,74.006545,76.016830,76.016830,0.0933012702,4.707843,250.184998
52,0.60785549,74.747984,53.342683,76.016830,76.016830,0.0930371014,4.973736,255.210341
53,0.58807999,76.033266,65.778401,76.016830,76.016830,0.0927682130,4.849743,260.117224
54,0.58234270,77.343750,59.420290,76.016830,76.016830,0.0924946346,4.808537,264.969169
55,0.61049583,75.504032,67.321178,76.016830,76.016830,0.0922163963,4.718451,269.737787
56,0.58471798,76.285282,73.772791,76.016830,76.016830,0.0919335284,5.021336,274.788374
57,0.59011960,76.310484,68.630201,76.016830,76.016830,0.0916460620,4.750548,279.593330
58,0.58278115,76.638105,59.794296,76.016830,76.016830,0.0913540287,4.718264,284.354899
59,0.58726811,76.134073,73.445535,76.016830,76.016830,0.0910574605,4.915881,289.304604
60,0.57020857,77.091734,67.695185,76.016830,76.016830,0.0907563898,4.812693,294.147878
61,0.56180912,77.973790,71.528752,76.016830,76.016830,0.0904508497,4.907077,299.092773
62,0.55355970,77.898185,72.463768,76.016830,76.016830,0.0901408738,5.032526,304.175999
63,0.55703413,77.797379,64.936886,76.016830,76.016830,0.0898264959,4.832222,309.055555
64,0.56279571,77.469758,50.584385,76.016830,76.016830,0.0895077506,4.830349,313.930580
65,0.55898678,77.772177,67.741935,76.016830,76.016830,0.0891846729,4.788626,318.752991
66,0.54695972,78.629032,70.920991,76.016830,76.016830,0.0888572981,4.796383,323.585492
67,0.53857999,78.225806,72.650771,76.016830,76.016830,0.0885256621,5.022589,328.653651
68,0.54868169,78.931452,66.993922,76.016830,76.016830,0.0881898014,4.933247,333.643933
69,0.54645893,78.780242,44.506779,76.016830,76.016830,0.0878497528,4.971582,338.672341
70,0.51479383,79.863911,73.118280,76.016830,76.016830,0.0875055535,4.842417,343.544587
71,0.51539242,79.511089,64.048621,76.016830,76.016830,0.0871572413,4.884372,348.484198
72,0.53818682,78.906250,70.453483,76.016830,76.016830,0.0868048544,4.879278,353.412501
73,0.51973963,79.334677,70.546985,76.016830,76.016830,0.0864484314,4.711498,358.150774
74,0.52537015,79.914315,73.211781,76.016830,76.016830,0.0860880114,4.866035,363.051622
75,0.50909374,80.367944,67.928939,76.016830,76.016830,0.0857236340,4.803078,367.893955
76,0.50979926,79.989919,46.517064,76.016830,76.016830,0.0853553391,4.803101,372.739165
77,0.50476280,80.090726,61.711080,76.016830,76.016830,0.0849831670,4.607035,377.397913
78,0.48825603,81.123992,73.632539,76.016830,76.016830,0.0846071587,4.922699,382.360899
79,0.50371279,79.662298,59.373539,76.016830,76.016830,0.0842273553,4.907203,387.311590
80,0.48307584,81.426411,69.378214,76.016830,76.016830,0.0838437985,4.987134,392.345471
81,0.47885941,80.695565,74.287050,76.016830,76.016830,0.0834565303,4.899253,397.288105
82,0.47649738,81.451613,73.726040,76.016830,76.016830,0.0830655933,4.865743,402.203385
83,0.49132877,80.619960,70.780739,76.016830,76.016830,0.0826710302,4.835787,407.068949
84,0.48527453,81.098790,65.684899,76.016830,76.016830,0.0822728844,4.867450,411.979871
85,0.46719060,81.703629,70.593735,76.016830,76.016830,0.0818711995,4.952524,416.979659
86,0.48788170,81.376008,61.524077,76.016830,76.016830,0.0814660196,4.891598,421.915233
87,0.46968920,81.703629,53.716690,76.016830,76.016830,0.0810573890,4.747810,426.695449
88,0.45151013,82.686492,56.287985,76.016830,76.016830,0.0806453527,4.839590,431.598553
89,0.46137456,81.250000,72.697522,76.016830,76.016830,0.0802299557,4.911734,436.564622
90,0.43736404,83.316532,68.302945,76.016830,76.016830,0.0798112437,4.839944,441.441793
91,0.45543135,82.434476,70.126227,76.016830,76.016830,0.0793892626,4.858550,446.346351
92,0.44177877,82.787298,72.837775,76.016830,76.016830,0.0789640586,4.966013,451.359699
93,0.41647640,83.946573,63.347359,76.016830,76.016830,0.0785356784,4.898139,456.287361
94,0.42758701,83.291331,76.718093,76.718093,76.718093,0.0781041689,5.008053,461.349617
95,0.43030518,83.518145,71.575503,76.718093,76.718093,0.0776695775,5.136496,466.624298
96,0.42030832,83.442540,60.402057,76.718093,76.718093,0.0772319518,4.851844,471.519474
97,0.40708338,84.173387,69.424965,76.718093,76.718093,0.0767913397,4.860364,476.415408
98,0.41198146,83.795363,66.152408,76.718093,76.718093,0.0763477898,4.792767,481.248239
99,0.41189658,84.324597,57.269752,76.718093,76.718093,0.0759013505,4.941489,486.225504
100,0.39571136,84.551411,59.513791,76.718093,76.718093,0.0754520708,5.001441,491.276896
101,0.39225179,85.105847,71.902758,76.718093,76.718093,0.0750000000,4.957018,496.272601
102,0.38778128,84.652218,72.837775,76.718093,76.718093,0.0745451877,4.954191,501.254699
103,0.39252054,85.710685,64.001870,76.718093,76.718093,0.0740876837,4.852809,506.136326
104,0.38374360,84.954637,60.916316,76.718093,76.718093,0.0736275382,4.869737,511.052013
105,0.37268819,84.601815,49.742871,76.718093,76.718093,0.0731648018,4.836732,515.928179
106,0.37152441,85.559476,68.302945,76.718093,76.718093,0.0726995250,4.854028,520.823764
107,0.37059852,85.458669,59.747546,76.718093,76.718093,0.0722317590,4.948910,525.819612
108,0.34572313,86.491935,62.505844,76.718093,76.718093,0.0717615550,4.885659,530.743291
109,0.33332514,87.172379,59.794296,76.718093,76.718093,0.0712889646,4.752038,535.531342
110,0.37587833,85.307460,75.222066,76.718093,76.718093,0.0708140396,4.633761,540.217001
111,0.37712430,85.483871,67.461431,76.718093,76.718093,0.0703368322,4.882183,545.142581
112,0.36110294,86.013105,75.502571,76.718093,76.718093,0.0698573945,4.738745,549.934483
113,0.33787841,87.575605,63.487611,76.718093,76.718093,0.0693757793,4.763201,554.738239
114,0.33241299,87.373992,73.585788,76.718093,76.718093,0.0688920393,4.694159,559.476660
115,0.35267844,86.592742,66.760168,76.718093,76.718093,0.0684062276,4.925272,564.442691
116,0.32460881,88.054435,72.370266,76.718093,76.718093,0.0679183975,4.804551,569.286711
117,0.30199572,88.382056,58.158018,76.718093,76.718093,0.0674286024,4.944209,574.294271
118,0.31878348,88.155242,64.329126,76.718093,76.718093,0.0669368960,4.895274,579.247480
119,0.32405365,88.180444,72.837775,76.718093,76.718093,0.0664433323,5.197567,584.503670
120,0.29636882,88.810484,69.798971,76.718093,76.718093,0.0659479655,4.935122,589.477732
121,0.29701979,88.583669,54.791959,76.718093,76.718093,0.0654508497,4.820990,594.341030
122,0.32178854,87.474798,71.996260,76.718093,76.718093,0.0649520396,4.874247,599.281863
