epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
1,4.78744141,0.989583,0.341519,0.341519,0.341519,0.1000000000,6.153649,6.153655
2,4.67962065,0.833333,2.179216,2.179216,2.179216,0.0999987815,5.890576,12.151111
3,4.56252464,1.510417,1.951537,2.179216,2.179216,0.0999951262,5.457166,17.753812
4,4.48103848,1.770833,1.333550,2.179216,2.179216,0.0999890342,5.044726,22.870288
5,4.45404917,1.145833,2.000325,2.179216,2.179216,0.0999805058,4.460403,27.386823
6,4.38960848,2.239583,2.455684,2.455684,2.455684,0.0999695414,4.752980,32.211910
7,4.33656301,2.135417,2.504472,2.504472,2.504472,0.0999561415,5.472024,37.819357
8,4.34236205,2.500000,3.772971,3.772971,3.772971,0.0999403069,4.977118,42.940377
9,4.29007111,2.135417,4.309644,4.309644,4.309644,0.0999220382,5.708780,48.774080
10,4.26480236,3.958333,4.212067,4.309644,4.309644,0.0999013364,5.090030,53.993434
11,4.20830526,3.333333,5.236624,5.236624,5.236624,0.0998782025,4.639701,58.692049
12,4.21368895,3.385417,5.448040,5.448040,5.448040,0.0998526376,4.791574,63.593824
13,4.16045615,4.010417,7.773622,7.773622,7.773622,0.0998246430,4.310099,68.020692
14,4.07597752,4.843750,7.464628,7.773622,7.773622,0.0997942199,4.694659,72.859114
15,4.12069238,4.479167,4.878842,7.773622,7.773622,0.0997613700,4.838976,77.758247
16,4.08704829,4.635417,7.854936,7.854936,7.854936,0.0997260948,4.850947,82.672234
17,4.05968660,4.687500,5.789559,7.854936,7.854936,0.0996883960,4.581656,87.367331
18,4.00575550,6.562500,6.667751,7.854936,7.854936,0.0996482754,4.483824,91.906353
19,3.98566448,5.625000,9.269800,9.269800,9.269800,0.0996057351,4.860416,96.807957
20,3.94487063,6.302083,9.806473,9.806473,9.806473,0.0995607770,5.208729,102.155603
21,3.89847463,6.718750,11.058709,11.058709,11.058709,0.0995134034,4.923657,107.217051
22,3.89764846,7.812500,10.017889,11.058709,11.058709,0.0994636166,4.356423,111.698596
23,3.90496240,7.291667,9.237274,11.058709,11.058709,0.0994114191,5.234548,117.004878
24,3.85941526,7.552083,11.692958,11.692958,11.692958,0.0993568133,4.805394,121.868871
25,3.83714849,7.812500,7.952513,11.692958,11.692958,0.0992998019,4.745889,126.753151
26,3.81686281,7.708333,9.936575,11.692958,11.692958,0.0992403877,4.693590,131.519654
27,3.82943306,9.739583,14.148642,14.148642,14.148642,0.0991785735,4.993917,136.583947
28,3.76348739,8.750000,11.676695,14.148642,14.148642,0.0991143625,5.163542,141.910843
29,3.80593969,9.739583,12.750041,14.148642,14.148642,0.0990477578,4.803986,146.771752
30,3.73819987,10.781250,14.896731,14.896731,14.896731,0.0989787625,4.691836,151.792109
31,3.71203383,11.250000,14.295007,14.896731,14.896731,0.0989073800,4.351618,156.310571
32,3.72562850,11.770833,15.335827,15.335827,15.335827,0.0988336139,4.809528,161.195699
33,3.68948665,11.093750,15.287039,15.335827,15.335827,0.0987574677,4.847668,166.188925
34,3.66649931,11.562500,17.336152,17.336152,17.336152,0.0986789451,5.654845,171.919822
35,3.68309549,12.395833,14.197430,17.336152,17.336152,0.0985980500,5.507989,177.581458
36,3.65658983,12.916667,9.790210,17.336152,17.336152,0.0985147863,4.848300,182.496842
37,3.56685017,14.635417,17.254838,17.336152,17.336152,0.0984291581,4.808655,187.360870
38,3.59065749,12.916667,15.465929,17.336152,17.336152,0.0983411694,4.340343,191.758723
39,3.62025272,12.916667,14.246219,17.336152,17.336152,0.0982508247,4.693559,196.520775
40,3.55879372,14.479167,19.190112,19.190112,19.190112,0.0981581283,5.093822,201.685963
41,3.56270010,14.010417,14.831680,19.190112,19.190112,0.0980630848,5.517101,207.332773
42,3.57295890,13.489583,18.669702,19.190112,19.190112,0.0979656987,5.714478,213.116821
43,3.52576164,15.937500,17.189787,19.190112,19.190112,0.0978659749,5.431865,218.617583
44,3.47385726,15.572917,15.839974,19.190112,19.190112,0.0977639181,4.745830,223.399437
45,3.49503295,14.375000,17.547569,19.190112,19.190112,0.0976595334,4.703182,228.171127
46,3.48984839,15.729167,20.670028,20.670028,20.670028,0.0975528258,4.668828,232.909460
47,3.45827150,15.729167,18.685965,20.670028,20.670028,0.0974438006,5.540339,238.568926
48,3.46843376,15.885417,18.653440,20.670028,20.670028,0.0973324630,4.689479,243.329117
49,3.39404405,16.250000,20.361034,20.670028,20.670028,0.0972188185,4.926321,248.311397
50,3.41003000,17.187500,15.449667,20.670028,20.670028,0.0971028726,5.821324,254.182786
51,3.43838061,17.187500,22.702879,22.702879,22.702879,0.0969846310,5.863366,260.119156
52,3.37536912,17.604167,20.491137,22.702879,22.702879,0.0968640995,5.685835,265.946375
53,3.35024079,19.791667,20.035778,22.702879,22.702879,0.0967412838,5.716210,271.735076
54,3.42760879,18.333333,19.954464,22.702879,22.702879,0.0966161901,5.083930,276.879810
55,3.36370468,17.656250,21.125386,22.702879,22.702879,0.0964888243,5.605268,282.546310
56,3.32456274,19.166667,21.092861,22.702879,22.702879,0.0963591927,5.446931,288.060387
57,3.39156356,17.447917,20.295983,22.702879,22.702879,0.0962273017,5.712210,293.830021
58,3.30991939,18.541667,22.036103,22.702879,22.702879,0.0960931576,5.822221,299.724951
59,3.28917766,20.572917,21.727110,22.702879,22.702879,0.0959567670,4.829513,304.621885
60,3.33066041,19.427083,17.661408,22.702879,22.702879,0.0958181365,4.754606,309.445411
61,3.28036052,19.895833,21.092861,22.702879,22.702879,0.0956772729,4.672754,314.189739
62,3.28236599,19.843750,19.677996,22.702879,22.702879,0.0955341830,4.747330,319.003671
63,3.19138602,20.885417,24.215320,24.215320,24.215320,0.0953888739,5.633805,324.707105
64,3.21153092,21.927083,24.475524,24.475524,24.475524,0.0952413526,5.671193,330.513316
65,3.19372789,21.562500,23.337128,24.475524,24.475524,0.0950916263,5.453822,336.105251
66,3.25217225,21.302083,22.751667,24.475524,24.475524,0.0949397023,4.611053,340.781273
67,3.21004906,21.510417,22.800455,24.475524,24.475524,0.0947855880,4.584220,345.419879
68,3.12766172,23.229167,21.515694,24.475524,24.475524,0.0946292909,4.657970,350.148406
69,3.17810465,22.187500,22.654090,24.475524,24.475524,0.0944708187,4.666067,354.881176
70,3.09309389,22.968750,25.467556,25.467556,25.467556,0.0943101790,4.907269,359.846917
71,3.16167113,21.822917,22.214994,25.467556,25.467556,0.0941473796,4.870803,364.850578
72,3.10223964,23.593750,27.500407,27.500407,27.500407,0.0939824286,4.698664,369.603549
73,3.11033985,22.239583,24.768255,27.500407,27.500407,0.0938153340,4.981991,374.725561
74,3.08013585,23.125000,25.451293,27.500407,27.500407,0.0936461039,4.663689,379.445963
75,3.10051932,23.593750,26.703529,27.500407,27.500407,0.0934747465,4.634495,384.149920
76,3.05339937,24.843750,27.045048,27.500407,27.500407,0.0933012702,5.688520,389.907000
77,3.11299356,23.020833,25.857863,27.500407,27.500407,0.0931256835,5.705510,395.682232
78,3.08552117,24.895833,28.167182,28.167182,28.167182,0.0929479948,5.227965,400.978672
79,3.05800745,25.000000,26.947471,28.167182,28.167182,0.0927682130,4.565059,405.658530
80,3.05630760,23.593750,32.021467,32.021467,32.021467,0.0925863467,4.905445,410.619886
81,3.06098566,24.427083,20.848919,32.021467,32.021467,0.0924024048,4.598891,415.344753
82,2.98096026,25.625000,18.198081,32.021467,32.021467,0.0922163963,4.624713,420.012671
83,2.97819559,25.260417,23.369654,32.021467,32.021467,0.0920283302,5.076072,425.157207
84,2.96276468,26.354167,27.874451,32.021467,32.021467,0.0918382157,5.361510,430.573745
85,3.01268061,25.677083,30.086193,32.021467,32.021467,0.0916460620,5.278089,435.919280
86,2.93042018,26.770833,26.573427,32.021467,32.021467,0.0914518786,5.039637,441.014850
87,2.96863427,26.822917,26.638478,32.021467,32.021467,0.0912556749,5.486535,446.554559
88,2.96604865,27.500000,23.808749,32.021467,32.021467,0.0910574605,5.194075,451.812437
89,2.86701967,28.281250,28.134656,32.021467,32.021467,0.0908572449,4.902900,456.785553
90,2.90431113,27.135417,26.508375,32.021467,32.021467,0.0906550381,4.874895,461.716221
91,2.90961474,26.927083,26.817369,32.021467,32.021467,0.0904508497,5.403552,467.175989
92,2.90020061,28.437500,28.118393,32.021467,32.021467,0.0902446899,5.635137,472.871224
93,2.83366116,29.687500,31.029436,32.021467,32.021467,0.0900365685,5.606409,478.540763
94,2.84643068,28.645833,31.468531,32.021467,32.021467,0.0898264959,4.844699,483.447978
95,2.86386228,27.395833,28.167182,32.021467,32.021467,0.0896144822,4.958409,488.458783
96,2.80273193,29.427083,32.428037,32.428037,32.428037,0.0894005377,5.097617,493.612142
97,2.83359585,28.385417,33.013498,33.013498,33.013498,0.0891846729,4.946643,498.688292
98,2.80327303,30.312500,30.281347,33.013498,33.013498,0.0889668982,4.800910,503.613424
99,2.77114231,29.895833,31.647422,33.013498,33.013498,0.0887472244,4.899532,508.568129
100,2.75225935,29.739583,31.940153,33.013498,33.013498,0.0885256621,4.553244,513.184466
101,2.76770355,30.208333,33.631485,33.631485,33.631485,0.0883022222,4.784204,518.030760
102,2.74096977,32.187500,27.093836,33.631485,33.631485,0.0880769154,4.717329,522.883061
103,2.72948866,31.822917,27.874451,33.631485,33.631485,0.0878497528,4.551968,527.493399
104,2.69374580,32.343750,30.639128,33.631485,33.631485,0.0876207454,5.506149,533.066893
105,2.72925504,31.718750,33.322491,33.631485,33.631485,0.0873899045,4.585248,537.713529
106,2.81881769,29.895833,30.785494,33.631485,33.631485,0.0871572413,5.259202,543.039613
107,2.80465298,30.364583,32.428037,33.631485,33.631485,0.0869227670,5.725078,548.826413
108,2.71468391,31.562500,31.257115,33.631485,33.631485,0.0866864932,5.367959,554.256174
109,2.61437079,34.583333,30.086193,33.631485,33.631485,0.0864484314,5.236069,559.555934
110,2.73540545,32.760417,34.981298,34.981298,34.981298,0.0862085931,4.600738,564.202922
111,2.66807001,33.385417,36.347374,36.347374,36.347374,0.0859669900,4.568717,568.911461
112,2.64527165,34.166667,32.249146,36.347374,36.347374,0.0857236340,5.105451,574.157377
113,2.69531500,31.250000,35.160189,36.347374,36.347374,0.0854785368,5.535728,579.757374
114,2.65741242,32.812500,30.557814,36.347374,36.347374,0.0852317105,5.607763,585.430118
115,2.62242835,33.854167,35.696861,36.347374,36.347374,0.0849831670,5.689823,591.185483
116,2.64193695,32.864583,36.005855,36.347374,36.347374,0.0847329185,5.566950,596.813763
117,2.58923359,35.000000,38.363962,38.363962,38.363962,0.0844809772,5.734624,602.613174
118,2.52360276,35.989583,31.777525,38.363962,38.363962,0.0842273553,5.706368,608.481923
119,2.59893158,34.895833,35.257765,38.363962,38.363962,0.0839720652,5.535849,614.053901
120,2.57979741,34.427083,31.793788,38.363962,38.363962,0.0837151194,5.022110,619.138429
121,2.51039214,35.937500,32.623191,38.363962,38.363962,0.0834565303,5.627937,624.831089
122,2.52128213,36.614583,36.054643,38.363962,38.363962,0.0831963106,5.595510,630.482206
123,2.58532052,34.218750,26.296959,38.363962,38.363962,0.0829344730,5.392608,635.936631
124,2.54703918,35.937500,37.046674,38.363962,38.363962,0.0826710302,4.867841,640.865240
125,2.52243090,35.625000,34.981298,38.363962,38.363962,0.0824059951,5.016994,645.940675
126,2.56108338,35.260417,33.420068,38.363962,38.363962,0.0821393805,5.276378,651.276403
127,2.54137864,35.625000,38.933160,38.933160,38.933160,0.0818711995,5.459487,656.802045
128,2.56219521,36.093750,37.892340,38.933160,38.933160,0.0816014651,4.735681,661.655054
129,2.49153670,37.968750,36.656367,38.933160,38.933160,0.0813301906,5.563938,667.281706
130,2.51139062,37.083333,35.111400,38.933160,38.933160,0.0810573890,5.385961,672.734078
131,2.49562955,37.343750,37.420719,38.933160,38.933160,0.0807830738,5.405983,678.214037
132,2.50047146,36.822917,36.168483,38.933160,38.933160,0.0805072582,5.394349,683.686766
133,2.43259560,38.281250,36.510002,38.933160,38.933160,0.0802299557,5.437441,689.193119
134,2.41636930,38.645833,39.518621,39.518621,39.518621,0.0799511799,5.406628,694.671855
135,2.44587728,39.166667,34.965035,39.518621,39.518621,0.0796709443,5.406618,700.220654
136,2.42604353,38.437500,35.729387,39.518621,39.518621,0.0793892626,5.628070,705.916701
137,2.37122699,40.572917,39.323467,39.518621,39.518621,0.0791061485,5.670892,711.649028
138,2.35373513,40.989583,38.640429,39.518621,39.518621,0.0788216158,5.638057,717.348934
139,2.37829243,40.468750,33.176126,39.518621,39.518621,0.0785356784,5.313156,722.724996
140,2.40576054,38.697917,38.803057,39.518621,39.518621,0.0782483502,5.337718,728.133544
141,2.39918127,39.427083,41.649049,41.649049,41.649049,0.0779596452,5.334467,733.533256
142,2.38854933,39.062500,40.657017,41.649049,41.649049,0.0776695775,5.495632,739.160170
143,2.39141134,38.437500,39.112051,41.649049,41.649049,0.0773781612,5.382988,744.603954
144,2.36103988,40.000000,43.128964,43.128964,43.128964,0.0770854105,5.474975,750.154327
145,2.32263416,40.364583,41.486421,43.128964,43.128964,0.0767913397,4.648090,754.957113
146,2.35331915,40.677083,42.332087,43.128964,43.128964,0.0764959632,4.663534,759.689783
147,2.29712067,41.979167,37.713449,43.128964,43.128964,0.0761992953,5.586784,765.344665
148,2.35947879,40.572917,40.673280,43.128964,43.128964,0.0759013505,4.625624,770.035876
149,2.34027718,39.739583,38.575378,43.128964,43.128964,0.0756021432,5.118085,775.220030
150,2.33583342,40.572917,42.771182,43.128964,43.128964,0.0753016882,5.613375,780.895788
151,2.29353873,41.406250,44.267361,44.267361,44.267361,0.0750000000,5.155121,786.120733
152,2.24121776,43.437500,41.323792,44.267361,44.267361,0.0746970933,5.260113,791.534693
153,2.25311777,43.281250,35.826964,44.267361,44.267361,0.0743929830,5.457729,797.052512
154,2.26758862,42.604167,38.087494,44.267361,44.267361,0.0740876837,5.342195,802.456033
155,2.27752885,41.197917,41.909254,44.267361,44.267361,0.0737812105,4.809735,807.328022
156,2.27629881,40.468750,36.168483,44.267361,44.267361,0.0734735781,4.840533,812.234720
157,2.29274112,41.979167,44.088470,44.267361,44.267361,0.0731648018,5.496309,817.795534
158,2.22978024,43.281250,42.641080,44.267361,44.267361,0.0728548964,5.470589,823.342061
159,2.22680822,43.541667,41.958042,44.267361,44.267361,0.0725438770,5.375932,828.785923
160,2.21400049,43.958333,42.885022,44.267361,44.267361,0.0722317590,5.311843,834.160764
161,2.22447982,43.177083,42.950073,44.267361,44.267361,0.0719185573,4.570947,838.792064
162,2.22857923,44.166667,44.771508,44.771508,44.771508,0.0716042874,5.143151,843.998329
163,2.26173739,42.812500,41.161164,44.771508,44.771508,0.0712889646,5.572970,849.855632
164,2.19176377,44.114583,43.519271,44.771508,44.771508,0.0709726041,4.380779,854.298527
165,2.20999287,44.479167,38.640429,44.771508,44.771508,0.0706552215,4.876636,859.239010
166,2.13804007,45.572917,45.291917,45.291917,45.291917,0.0703368322,4.634085,863.934509
167,2.19099636,44.531250,36.835258,45.291917,45.291917,0.0700174516,4.672285,868.741759
168,2.19725226,44.114583,40.185396,45.291917,45.291917,0.0696970955,4.845096,873.650446
169,2.16903389,43.645833,44.039681,45.291917,45.291917,0.0693757793,5.805356,879.516965
170,2.13033779,45.052083,45.015450,45.291917,45.291917,0.0690535188,5.166360,884.744946
171,2.07248885,47.395833,41.063588,45.291917,45.291917,0.0687303297,5.187242,889.983585
172,2.09355563,46.510417,43.080176,45.291917,45.291917,0.0684062276,4.930553,894.967624
173,2.03536708,47.291667,44.364937,45.291917,45.291917,0.0680812285,5.216801,900.239709
174,2.12271727,47.500000,42.917548,45.291917,45.291917,0.0677553481,5.001405,905.303270
175,2.08061464,47.343750,44.625142,45.291917,45.291917,0.0674286024,5.139059,910.504357
176,2.13225342,45.572917,47.097089,47.097089,47.097089,0.0671010072,4.607670,915.173193
177,2.10931882,46.562500,45.731013,47.097089,47.097089,0.0667725785,5.238908,920.542577
178,2.04528681,48.645833,46.755570,47.097089,47.097089,0.0664433323,5.364690,925.968106
179,2.08283220,47.447917,42.933810,47.097089,47.097089,0.0661132848,5.519765,931.549269
180,2.10393543,47.656250,47.015775,47.097089,47.097089,0.0657824518,4.855515,936.467177
181,2.13568747,46.875000,45.942430,47.097089,47.097089,0.0654508497,4.406293,940.930612
182,2.03644138,47.760417,40.689543,47.097089,47.097089,0.0651184945,4.398707,945.398047
183,1.98139915,48.750000,46.755570,47.097089,47.097089,0.0647854025,5.061265,950.524283
184,2.05439793,45.833333,48.642056,48.642056,48.642056,0.0644515898,5.101793,955.687153
185,2.00801076,49.739583,46.218897,48.642056,48.642056,0.0641170728,5.231261,961.051499
186,1.99396202,49.635417,44.722719,48.642056,48.642056,0.0637818678,4.556023,965.670859
187,2.03803789,48.593750,43.486746,48.642056,48.642056,0.0634459910,4.537867,970.276682
188,2.00019189,48.437500,42.023093,48.642056,48.642056,0.0631094589,4.556014,974.900740
189,2.02360569,46.875000,41.665311,48.642056,48.642056,0.0627722879,4.553537,979.523621
